Rank,City_Name,2020_Population,2010_Population,Change,Density
215,Lompoc,"42,232","42,321",-0.21%,"1,403"
216,Bell Gardens,"41,961","42,058",-0.23%,"6,590"
217,Rancho Palos Verdes,"41,596","41,666",-0.17%,"1,192"
218,Hollister,"41,383","34,925",18.49%,"2,175"
219,San Gabriel,"40,303","39,649",1.65%,"3,755"
220,Calexico,"40,171","38,664",3.90%,"1,799"
221,Montclair,"40,133","36,748",9.21%,"2,810"
222,La Puente,"39,572","39,845",-0.69%,"4,392"
223,Wildomar,"38,866","32,419",19.89%,634
224,Culver City,"38,800","38,912",-0.29%,"2,931"
225,Martinez,"38,530","36,163",6.55%,"1,178"
226,Pacifica,"38,183","37,361",2.20%,"1,164"
227,Stanton,"37,722","37,901",-0.47%,"4,702"
228,La Presa,"37,437","34,169",9.56%,"2,629"
229,West Hollywood,"37,430","34,402",8.80%,"7,657"
230,Moorpark,"36,830","34,640",6.32%,"1,130"
231,Claremont,"36,374","34,895",4.24%,"1,052"
232,Monrovia,"36,371","36,601",-0.63%,"1,030"
233,Temple City,"35,928","35,554",1.05%,"3,464"
234,San Juan Capistrano,"35,899","34,484",4.10%,961
235,Manhattan Beach,"35,722","35,124",1.70%,"3,503"
236,Adelanto,"35,564","31,663",12.32%,260
237,Bell,"35,408","35,486",-0.22%,"5,469"
238,Menlo Park,"34,949","32,081",8.94%,"1,348"
239,Pleasant Hill,"34,905","33,181",5.20%,"1,905"
240,Orangevale,"34,757","33,960",2.35%,"1,170"
241,Oildale,"34,723","32,684",6.24%,"2,052"
242,Foster City,"34,141","30,610",11.54%,"3,473"
243,Beverly Hills,"33,865","33,958",-0.27%,"2,291"
244,French Valley,"33,818","23,067",46.61%,"1,201"
245,San Dimas,"33,768","33,379",1.17%,867
246,Foothill Farms,"33,749","33,121",1.90%,"3,104"
247,Westmont,"33,723","31,853",5.87%,"7,047"
248,Dana Point,"33,406","33,343",0.19%,"1,989"
249,Seaside,"33,296","33,096",0.60%,"1,391"
250,Fallbrook,"33,021","30,534",8.15%,727
251,Lawndale,"32,446","32,776",-1.01%,"6,346"
252,El Paso de Robles Paso Robles,"32,360","29,790",8.63%,636
253,La Verne,"32,018","31,130",2.85%,"1,466"
254,Banning,"31,621","29,721",6.39%,525
255,Spring Valley,"31,591","28,205",12.00%,"1,661"
256,San Carlos,"31,330","28,415",10.26%,"2,194"
257,San Pablo,"31,258","29,478",6.04%,"4,590"
258,Goleta,"31,181","29,962",4.07%,"1,533"
259,Fair Oaks,"31,002","30,912",0.29%,"1,102"
260,Burlingame,"30,743","28,839",6.60%,"2,694"
261,Atascadero,"30,674","28,410",7.97%,454
262,Laguna Hills,"30,588","30,253",1.11%,"1,788"
263,Los Gatos,"30,516","29,796",2.42%,"1,034"
264,Orcutt,"30,493","28,905",5.49%,"1,058"
265,Los Altos,"30,405","29,092",4.51%,"1,811"
266,Saratoga,"30,311","30,077",0.78%,917
267,Ladera Ranch,"30,288","22,980",31.80%,"2,380"
268,Walnut,"30,188","29,205",3.37%,"1,296"
269,Suisun City,"29,927","28,097",6.51%,"2,845"
270,Santa Paula,"29,813","29,331",1.64%,"2,536"
271,Atwater,"29,603","28,287",4.65%,"1,876"
272,Desert Hot Springs,"29,387","27,170",8.16%,375
273,East Palo Alto,"29,199","28,223",3.46%,"4,472"
274,Ridgecrest,"29,136","27,685",5.24%,539
275,Wasco,"29,032","25,686",13.03%,"1,194"
276,Benicia,"28,556","27,023",5.67%,859
277,Vineyard,"28,315","24,836",14.01%,635
278,Monterey,"27,997","27,915",0.29%,"1,251"
279,Windsor,"27,737","26,816",3.43%,"1,473"
280,Isla Vista,"27,690","23,096",19.89%,"5,779"
281,Lemoore,"27,632","24,535",12.62%,"1,210"
282,Galt,"27,538","23,761",15.90%,"1,563"
283,Twentynine Palms,"27,502","25,102",9.56%,181
284,Lemon Grove,"27,367","25,381",7.82%,"2,724"
285,Imperial Beach,"27,345","26,384",3.64%,"2,456"
286,West Whittier-Los Nietos,"27,144","25,540",6.28%,"4,160"
287,Paradise,"27,138","26,175",3.68%,572
288,Soledad,"27,111","26,029",4.16%,"2,336"
289,Maywood,"27,038","27,396",-1.31%,"8,859"
290,Lafayette,"26,961","23,876",12.92%,692
291,Eureka,"26,938","27,200",-0.96%,"1,108"
292,Belmont,"26,845","25,878",3.74%,"2,237"
293,Temescal Valley,"26,709",,,533
294,Norco,"26,704","27,059",-1.31%,745
295,Brawley,"26,518","25,036",5.92%,"1,261"
296,Hercules,"25,753","24,148",6.65%,"1,551"
297,Reedley,"25,625","24,333",5.31%,"1,816"
298,El Cerrito,"25,593","23,646",8.23%,"2,702"
299,Sanger,"25,559","24,299",5.19%,"1,713"
300,Riverbank,"25,432","22,759",11.74%,"2,425"
301,San Lorenzo,"25,388","23,452",8.26%,"3,532"
302,South Pasadena,"25,379","25,604",-0.88%,"2,876"
303,Valinda,"25,296","22,822",10.84%,"4,849"
304,Bay Point,"25,165","21,349",17.87%,"1,506"
305,Selma,"24,841","23,445",5.95%,"1,663"
306,North Tustin,"24,736","24,917",-0.73%,"1,445"
307,Lathrop,"24,616","17,699",39.08%,479
308,Loma Linda,"24,470","23,367",4.72%,"1,234"
309,Oakdale,"24,385","20,816",17.15%,"1,523"
310,Dinuba,"24,380","21,570",13.03%,"1,446"
311,San Fernando,"24,368","23,644",3.06%,"3,963"
312,Barstow,"24,132","22,811",5.79%,226
313,Calabasas,"23,918","23,465",1.93%,675
314,Seal Beach,"23,737","24,111",-1.55%,813
315,Ashland,"23,635","21,925",7.80%,"4,966"
316,West Puente Valley,"23,629","22,636",4.39%,"4,881"
317,Rosemont,"23,617","22,681",4.13%,"2,085"
318,Cudahy,"23,616","23,810",-0.81%,"7,755"
319,Marina,"23,283","19,744",17.92%,"1,011"
320,Winter Gardens,"23,088","20,631",11.91%,"2,017"
321,Patterson,"22,974","20,583",11.62%,"1,138"
322,West Rancho Dominguez,"22,932","5,669",304.52%,"2,228"
323,Laguna Beach,"22,749","22,766",-0.07%,988
324,Lakeside,"22,560","20,648",9.26%,"1,257"
